Date;Open;High;Low;Close;Adj Close;Volume
24/08/2004;50730000;51000000;50389999;50910000;35499962;1713800
25/08/2004;51549999;52820000;51150002;52500000;36608700;7318100
26/08/2004;52509998;52650002;51930000;52070000;36308838;3363600
27/08/2004;52130001;52599998;51880001;51990002;36253067;1457000
30/08/2004;51990002;52509998;51810001;51869999;36169376;1615000
31/08/2004;51900002;52220001;51689999;52220001;36413445;2246400
01/09/2004;52099998;52580002;51939999;52389999;36531971;2275100
02/09/2004;52389999;53689999;52360001;53619999;37389664;2894000
03/09/2004;53680000;53950001;53099998;53099998;37027081;2888500
07/09/2004;53400002;54009998;53400002;53970001;37633728;2965800
08/09/2004;53610001;54320000;53599998;54049999;37689514;3034500
09/09/2004;53970001;54169998;53230000;53259998;37138634;2572000
10/09/2004;52849998;54200001;52650002;54150002;37759247;3128100
13/09/2004;54150002;54860001;53810001;54279999;37849880;2988800
14/09/2004;54290001;54490002;53720001;53919998;37598862;1938800
15/09/2004;54049999;54250000;53330002;53660000;37417561;1709100
16/09/2004;53799999;54570000;53669998;54520000;38017254;2396600
17/09/2004;54730000;55240002;54560001;55150002;38456558;3318500
20/09/2004;54750000;55189999;54419998;54740002;38170677;2458000
21/09/2004;54709999;55049999;54520000;54700001;38142769;2631700
22/09/2004;54299999;54439999;53410000;53680000;37431526;2831300
23/09/2004;53200001;53250000;52580002;53000000;36957333;4001900
24/09/2004;52980000;53400002;52790001;53139999;37054962;2748300
27/09/2004;52900002;53000000;52299999;52509998;36615658;2092500
28/09/2004;52509998;52720001;51750000;52320000;36483181;3510700
29/09/2004;51419998;51419998;50500000;51009998;35569683;5992800
30/09/2004;50849998;51990002;50619999;51619999;35995060;3846000
01/10/2004;51619999;52490002;51419998;52480000;36594742;3384700
04/10/2004;52549999;52869999;50880001;52320000;36483181;4832900
05/10/2004;52000000;52070000;51299999;51490002;35904408;3402200
06/10/2004;51490002;52360001;51139999;52360001;36511066;2485700
07/10/2004;52490002;52490002;51320000;51320000;35785854;1998800
08/10/2004;51119999;51240002;49889999;50099998;34935131;3952100
11/10/2004;50110001;50490002;49970001;50259998;35046711;2236000
12/10/2004;50270000;50560001;49810001;50400002;35144333;2509300
13/10/2004;50709999;51090000;49919998;50230000;35025806;2272300
14/10/2004;50150002;51000000;50150002;50250000;35039738;3048600
15/10/2004;50500000;51279999;50180000;50189999;34997898;3467700
18/10/2004;49549999;49830002;49250000;49590000;34579521;3079100
19/10/2004;49099998;50000000;48849998;49209999;34314541;3186000
20/10/2004;49299999;49549999;48299999;48959999;34140217;3242100
21/10/2004;48950001;49980000;48810001;49560001;34558594;3704100
22/10/2004;49500000;50099998;49070000;49509998;34523724;2456400
25/10/2004;49049999;49320000;48099998;49000000;34168095;4022100
26/10/2004;48820000;50169998;48650002;49980000;34851456;3880000
27/10/2004;51000000;51250000;49799999;50099998;34935131;5435700
28/10/2004;50110001;50450001;49540001;49869999;34774757;4138500
29/10/2004;49970001;50220001;49799999;49900002;34795677;2720200
01/11/2004;50099998;50169998;49650002;49950001;34830547;2526500
02/11/2004;50049999;50540001;49660000;49880001;34781734;2806900
03/11/2004;51000000;52099998;50939999;51150002;35667313;5451100
04/11/2004;50849998;50919998;50169998;50590000;35276821;4875700
05/11/2004;50799999;51369999;50410000;51150002;35667313;4379900
08/11/2004;51150002;52480000;51060001;52070000;36308838;4025700
09/11/2004;51849998;52889999;51599998;52509998;36756840;4092700
10/11/2004;52820000;53450001;52740002;53400002;37379845;4082800
11/11/2004;53410000;54320000;53410000;54299999;38009850;4110600
12/11/2004;54200001;54389999;53520000;53930000;37750832;2654800
15/11/2004;53849998;54230000;53610001;54029999;37820847;3782300
16/11/2004;54000000;54160000;53720001;54000000;37799843;2752200
17/11/2004;54299999;55220001;54240002;54750000;38324833;4262400
18/11/2004;55150002;55480000;54650002;54849998;38394840;3064900
19/11/2004;54849998;54849998;53770000;53770000;37638836;2915200
22/11/2004;53759998;53970001;53250000;53970001;37778835;3036900
23/11/2004;53959999;54340000;53410000;54330002;38030846;3228500
24/11/2004;54330002;54500000;53759998;54119999;37883823;3231200
26/11/2004;54130001;54240002;53900002;54020000;37813831;1456100
29/11/2004;54020000;54380001;53279999;53619999;37533840;2666800
30/11/2004;53450001;54040001;53439999;53570000;37498833;2455500
01/12/2004;53599998;54700001;53570000;54700001;38289837;2976100
02/12/2004;54500000;54900002;54299999;54860001;38401833;2433500
03/12/2004;54919998;55290001;54599998;55259998;38681839;3358700
06/12/2004;55259998;55259998;54520000;54750000;38324833;2272900
07/12/2004;54750000;55000000;53720001;53750000;37624836;2738000
08/12/2004;53950001;53980000;52419998;52799999;36959839;4284000
09/12/2004;52680000;52990002;52200001;52779999;36945831;4347100
10/12/2004;52630001;52990002;52330002;52419998;36693836;4107600
13/12/2004;54369999;54369999;52259998;52669998;36868843;2921900
14/12/2004;52919998;53020000;52490002;52639999;36847847;3101600
15/12/2004;52779999;52779999;52290001;52400002;36679836;3598200
16/12/2004;52400002;52490002;51790001;52080002;36455837;3512700
17/12/2004;52000000;53400002;51980000;53099998;37169842;5306600
20/12/2004;53099998;53759998;53090000;53220001;37253841;2348100
21/12/2004;53259998;53680000;52720001;53419998;37393829;2676400
22/12/2004;53660000;54290001;53619999;53910000;37736824;1999100
23/12/2004;53750000;53849998;53320000;53529999;37470829;1110900
27/12/2004;53389999;53650002;52910000;53150002;37204826;1467500
